firstname	lastname	university	university_shortname	university_city	function	organization	organization_sector
Karl	Aberer	ETH Lausanne	EPF	Lausanne	Chairman of L3S Advisory Board	L3S Advisory Board	Education & research
Karl	Aberer	ETH Lausanne	EPF	Lausanne	Member Conseil of Zeno-Karl Schindler Foundation	Zeno-Karl Schindler Foundation	Education & research
Karl	Aberer	ETH Lausanne	EPF	Lausanne	Member of Conseil Fondation IDIAP	Fondation IDIAP	Education & research
Karl	Aberer	ETH Lausanne	EPF	Lausanne	Panel Member 	SNF Ambizione Program	Education & research
Reza Shokrollah	Abhari	ETH Zurich	ETH	Zurich	Aufsichtsratsmandat	PNE Wind AG	Energy, environment & mobility
Georges	Abou Jaoudé	ETH Lausanne	EPF	Lausanne	Professeur invité (2 interventions d'une semaine)	Kazan Federal University, Russia	Education & research
Hugues	Abriel	Uni Bern	UBE	Bern	NA	Cloetta Stiftung	Education & research
Daniel	Aebersold	Uni Bern	UBE	Bern	NA	Berner Radium-Stiftung	Pharma & health
Daniel	Aebersold	Uni Bern	UBE	Bern	NA	Janser Krebs-Stiftung	Pharma & health
Daniel	Aebersold	Uni Bern	UBE	Bern	NA	SWAN Isotopen AG	Technology
Christoph	Aebi	Uni Bern	UBE	Bern	NA	Bernische Stiftung für krebskranke Kinder und Jugendliche	Pharma & health
Christoph	Aebi	Uni Bern	UBE	Bern	NA	Ronald McDonald Stiftung	Society, Social, Culture & Sports
Marcelo	Aebi	Uni Lausanne	ULA	Lausanne	NA	Activités académiques	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Beirat	Singapore International Advisory Committee for Biomedical Sciences	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Chairman, Beirat	Advisory Board Novartis Venture Fund	Financial industry & insurances
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Founder & Chairman of the BOD 	Amazentis	Technology
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	NA	Fondation Claude Nobs	Society, Social, Culture & Sports
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	NA	Fondation Terre des Hommes	Politics, administration, justice system & security sector
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	NA	Italian Institute of Technology 	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	NA	Singapore Biomedical Sciences International 	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	NA	World Economic Forum	Commerce, trade & services
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Part of the presidential duties	CSEM	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Part of the presidential duties	Fondation Brocher	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Part of the presidential duties	Fondation Campus Biotech Geneva	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Part of the presidential duties	Fondation Claude Verdan	Society, Social, Culture & Sports
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Part of the presidential duties	Fondation EPFL+	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Part of the presidential duties	Fondation les Bois Chamblard	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Part of the presidential duties	Fondation pour l'étude des eaux du Léman	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Part of the presidential duties	Fondation pour la formation continue lausannoise	Education & research
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Verwaltungsrat	Lonza Group	Technology
Patrick	Aebischer	ETH Lausanne	EPF	Lausanne	Verwaltungsrat	Nestlé	Industry, construction & agriculture
Stephan	Aier	Uni St. Gallen	USG	Saint Gallen	Beratung und Veranstaltungen im Bereich Enterprise Architecture Management	TWZ GmbH	Not classifiable
Stephan	Aier	Uni St. Gallen	USG	Saint Gallen	Lehrauftrag Enterprise Architecture	Reykjavik University	Education & research
Anastasia	Ailamaki	ETH Lausanne	EPF	Lausanne	Consulting on data mgmt	S2P Lion, Germany	Not classifiable
Cesla	Amarelle	Uni Neuenburg	UNE	Neuchâtel	Mandat	Nationalrat	Politics, administration, justice system & security sector
Manuel	Ammann	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Neue Bank AG	Financial industry & insurances
Manuel	Ammann	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	St. Gallen Kantonalbank AG	Financial industry & insurances
Manuel	Ammann	Uni St. Gallen	USG	Saint Gallen	Verwaltungsratspräsident	Algofin AG	Consulting, public relations, legal & trust
Christophe	Ancey	ETH Lausanne	EPF	Lausanne	Prise en compte du risque de reptation sur la télécabine du Lys, pylônes P9-11	Espace Cauterets, Mairie, Cauterets	Politics, administration, justice system & security sector
Marilyne	Andersen	ETH Lausanne	EPF	Lausanne	Board member	ECOVEST SA	Commerce, trade & services
Marilyne	Andersen	ETH Lausanne	EPF	Lausanne	Member of Industry Agenda Council for Real Estate and Urbanization	World Economic Forum	Commerce, trade & services
Jean-Marie	Annoni	Uni Freiburg	UFR	Fribourg	Neurologe	Freiburger Spital	Pharma & health
John	Antonakis	Uni Lausanne	ULA	Lausanne	NA	Activités académiques	Education & research
Omid	Aschari	Uni St. Gallen	USG	Saint Gallen	Mitglied	Nationaler Geistiger Rat der Bahá'í der Schweiz	Society, Social, Culture & Sports
Omid	Aschari	Uni St. Gallen	USG	Saint Gallen	Verwaltungsratspräsident und Gründer	ASG Strategy Group AG	Consulting, public relations, legal & trust
David	Atienza Alonso	ETH Lausanne	EPF	Lausanne	Consultancy on embedded systems uses for swallowing and chewing monitoring	Nestec SA	Industry, construction & agriculture
Jean-Jacques	Aubert	Uni Neuenburg	UNE	Neuchâtel	Député	Grand Conseil NE	Politics, administration, justice system & security sector
Jean-Jacques	Aubert	Uni Neuenburg	UNE	Neuchâtel	Vice-président	Académie suisse des sciences humaines et sociales	Society, Social, Culture & Sports
Drahomir	Aujesky	Uni Bern	UBE	Bern	NA	Schweizerische Gesellschaft für allgemeine innere Medizin	Pharma & health
Johan	Auwerx	ETH Lausanne	EPF	Lausanne	Biomedical consulting - Founder and BOD (Director - approved by EPFL)	Reamol Biomedical Consultung, Buchillon, CH	Consulting, public relations, legal & trust
Johan	Auwerx	ETH Lausanne	EPF	Lausanne	Mitochondrial metabolism and deseases - Founder & SAB member	Mitobridge, Cambridge, MA, USA	Technology
Johan	Auwerx	ETH Lausanne	EPF	Lausanne	NAD metabolism - SAB member	Metro Mid-Atalantic Biotech, Birmingham, MI, USA	Technology
Johan	Auwerx	ETH Lausanne	EPF	Lausanne	Nutraceuticals - SAB member	Amazentis, Ecublens, Switzerland	Technology
Johan	Auwerx	ETH Lausanne	EPF	Lausanne	Nutrition & Phytochemistry - Founder & Consultant	PhytoDia, Illkirch, France	Pharma & health
François	Avellan	ETH Lausanne	EPF	Lausanne	Associé minoritaire dans la start-up d'un ancien doctorant	Power Vision Engineering Sàrl, Ecublens	Industry, construction & agriculture
François	Avellan	ETH Lausanne	EPF	Lausanne	Expertise du rendement des turbines de la centrale de La Higuera, Chili, dans le cadre d'une procédure juridique	Barros, Letelier & Gonzalez Attorneys at Law, Chile	Consulting, public relations, legal & trust
Kay Werner	Axhausen	ETH Zurich	ETH	Zurich	VR-Mandat der Spin-Off-Firma	Senozon (Schweiz) AG	Consulting, public relations, legal & trust
Philippe	Bacchetta	Uni Lausanne	ULA	Lausanne	NA	Activités académiques	Education & research
Andrea	Back	Uni St. Gallen	USG	Saint Gallen	Beirätin	Crosswalk AG	Consulting, public relations, legal & trust
Andrea	Back	Uni St. Gallen	USG	Saint Gallen	Beirätin, Beratung	CID GmbH	Technology
Andrea	Back	Uni St. Gallen	USG	Saint Gallen	Gutachterin	Marie Heim-Vögtlin-Programm des Schweizerischen Nationalfonds, Abteilung Geistes- und Sozialwissenschaften	Education & research
Andrea	Back	Uni St. Gallen	USG	Saint Gallen	Wissenschaftliche Beirätin	Leibniz-Informationszentrum Wirtschaft	Education & research
Marco	Bakker	ETH Lausanne	EPF	Lausanne	CEO, Architect	Bakker & Blanc Architectes Lausanne, Zurich	Industry, construction & agriculture
Artur	Baldauf	Uni Bern	UBE	Bern	NA	International School of Bern	Education & research
Artur	Baldauf	Uni Bern	UBE	Bern	NA	Securitas AG	Politics, administration, justice system & security sector
Christophe	Ballif	ETH Lausanne	EPF	Lausanne	Chef de division CSEM PV-center, officiellement depuis 1.10.2012	CSEM, Neuchâtel	Education & research
Christophe	Ballif	ETH Lausanne	EPF	Lausanne	Consultant technologique et membre du conseil d'administration	Asgalium Unitec SA, Cortaillod	Industry, construction & agriculture
Christophe	Ballif	ETH Lausanne	EPF	Lausanne	Membre comité de conseil Active Niche Funds (fonds dédié au Solaire)	ANF SA, Lausanne	Financial industry & insurances
Christophe	Ballif	ETH Lausanne	EPF	Lausanne	Panel, clean energy research program, Singapour	Economic development Board (EDB), Raffles Tower, Singapour	Commerce, trade & services
Yann	Barrandon	Uni Lausanne	ULA	Lausanne	Conseil d'administration 	gyMetrics SA, Ecublens	Technology
Yann	Barrandon	Uni Lausanne	ULA	Lausanne	Consultant	A*Star IMB Biopolis, Singapour	Education & research
David Andrew	Barry	ETH Lausanne	EPF	Lausanne	Co-Editor	Advances in Water Resources (Elsevier Journal)	Media & communication
David Andrew	Barry	ETH Lausanne	EPF	Lausanne	Fellowships Committee	Royal Society of Edinburgh, UK	Education & research
David Andrew	Barry	ETH Lausanne	EPF	Lausanne	Member and expert to the Sinergia section	Swiss National Science Foundation - Sinergia	Education & research
David Andrew	Barry	ETH Lausanne	EPF	Lausanne	Member of the SNF Council	Swiss National Science Foundation	Education & research
David Andrew	Barry	ETH Lausanne	EPF	Lausanne	Visiting Professor	University of Edinburgh, UK	Education & research
Pius Eliseo	Baschera	ETH Zurich	ETH	Zurich	VP des Beirates	ARDEX GmbH	Industry, construction & agriculture
Pius Eliseo	Baschera	ETH Zurich	ETH	Zurich	VP des Beirates	Vorwerk & Co. KG	Commerce, trade & services
Pius Eliseo	Baschera	ETH Zurich	ETH	Zurich	VR-Mandat	Roche Holding AG	Pharma & health
Pius Eliseo	Baschera	ETH Zurich	ETH	Zurich	VR-Mandat	Schindler Holding AG	Industry, construction & agriculture
Pius Eliseo	Baschera	ETH Zurich	ETH	Zurich	VR-Präsidium	Hilti AG	Industry, construction & agriculture
Pius Eliseo	Baschera	ETH Zurich	ETH	Zurich	VR-Präsidium	Venture Incubator AG	Financial industry & insurances
Andreas	Müller	ETH Zurich	ETH	Zurich	Verwaltungsrat	Novartis AG	Pharma & health
Sarah	Weber	Uni Basel	UBA	Basel	Board Member	Swiss Re AG	Financial industry & insurances
Thomas	Fischer	Uni Zurich	UZH	Zurich	Advisory Board Member	Credit Suisse Group AG	Financial industry & insurances
Maria	Schneider	ETH Lausanne	EPF	Lausanne	Consultant	Nestlé Research Center	Industry, construction & agriculture
Peter	Brunner	Uni Bern	UBE	Bern	Chairman	Swiss National Science Foundation	Education & research
Anna	Keller	Uni St. Gallen	USG	Saint Gallen	Verwaltungsratspräsidentin	UBS Group AG	Financial industry & insurances
Marc	Lehmann	Uni Geneva	UGE	Geneva	Founder & CEO	Biotech Geneva SA	Pharma & health
Elena	Rossi	ETH Zurich	ETH	Zurich	Panel Member	European Research Council	Education & research
David	Meier	Uni Lausanne	ULA	Lausanne	Member	Académie Suisse des Sciences Médicales	Pharma & health
Sophie	Martin	Uni Freiburg	UFR	Fribourg	Beirätin	Lonza Group	Technology
Michael	Schmid	ETH Lausanne	EPF	Lausanne	Scientific Advisor	Johnson & Johnson Innovation	Pharma & health
Julia	Baumann	Uni Basel	UBA	Basel	Verwaltungsrat	Roche Holding AG	Pharma & health
Robert	Zimmermann	ETH Zurich	ETH	Zurich	Board Member	ABB Ltd	Technology
Lisa	Hoffmann	Uni Neuenburg	UNE	Neuchâtel	Consultant	World Health Organization	Politics, administration, justice system & security sector
Frank	Wagner	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Zurich Insurance Group	Financial industry & insurances
Carmen	López	Uni Geneva	UGE	Geneva	Advisory Board	CERN	Education & research
Stefan	König	ETH Zurich	ETH	Zurich	Chairman	Swiss Federal Nuclear Safety Inspectorate	Politics, administration, justice system & security sector
Nicole	Huber	Uni Bern	UBE	Bern	Board Member	Swiss Medical Association	Pharma & health
Alessandro	Bianchi	ETH Lausanne	EPF	Lausanne	Founder	Solar Impulse Foundation	Energy, environment & mobility
Katrin	Gerber	Uni Basel	UBA	Basel	Panel Member	Swiss Academy of Sciences	Education & research
Philippe	Dubois	Uni Lausanne	ULA	Lausanne	Consultant	International Olympic Committee	Society, Social, Culture & Sports
Hans	Steiner	ETH Zurich	ETH	Zurich	Verwaltungsrat	Swisscom AG	Technology
Sabine	Graf	Uni St. Gallen	USG	Saint Gallen	Advisory Board Member	McKinsey & Company	Consulting, public relations, legal & trust
Marco	Ferrari	Uni Lugano	USI	Lugano	Board Member	Credit Suisse Private Banking	Financial industry & insurances
Christine	Wenger	Uni Freiburg	UFR	Fribourg	Scientific Advisor	Merck KGaA	Pharma & health
Oliver	Sommer	ETH Zurich	ETH	Zurich	Founder & CTO	CleanTech Innovations AG	Energy, environment & mobility
Francesca	Romano	Uni Geneva	UGE	Geneva	Member	United Nations Environment Programme	Politics, administration, justice system & security sector
Markus	Niederer	Uni Bern	UBE	Bern	Verwaltungsrat	Bernexpo AG	Commerce, trade & services
Patricia	Silva	ETH Lausanne	EPF	Lausanne	Consultant	Logitech International SA	Technology
Andreas	Bachmann	Uni Basel	UBA	Basel	Board Member	Swiss Bankers Association	Financial industry & insurances
Daniela	Kurz	Uni Zurich	UZH	Zurich	Scientific Advisory Board	Boehringer Ingelheim	Pharma & health
Jean-Luc	Perret	Uni Lausanne	ULA	Lausanne	Conseil d'administration	Vaudoise Assurances	Financial industry & insurances
Martin	Gross	ETH Zurich	ETH	Zurich	Panel Expert	Swiss National Science Foundation	Education & research
Simone	Müller	Uni St. Gallen	USG	Saint Gallen	Beirätin	Boston Consulting Group	Consulting, public relations, legal & trust
Luca	Bernasconi	Uni Lugano	USI	Lugano	Advisory Board	Banca Stato	Financial industry & insurances
Barbara	Stäubli	Uni Basel	UBA	Basel	Verwaltungsrat	Clariant AG	Technology
Viktor	Petrov	ETH Lausanne	EPF	Lausanne	Founder	Quantum Computing Ventures	Technology
Anja	Koller	Uni Bern	UBE	Bern	Board Member	Swiss Cancer Research	Pharma & health
François	Morel	Uni Geneva	UGE	Geneva	Consultant	International Committee of the Red Cross	Society, Social, Culture & Sports
Reto	Amstutz	ETH Zurich	ETH	Zurich	Verwaltungsrat	Swiss Steel Holding AG	Industry, construction & agriculture
Claudia	Richter	Uni Freiburg	UFR	Fribourg	Scientific Advisor	Pfizer Inc.	Pharma & health
Giovanni	Martinelli	Uni Lugano	USI	Lugano	Board Member	Swissquote Bank	Financial industry & insurances
Petra	Haas	Uni St. Gallen	USG	Saint Gallen	Verwaltungsratsmitglied	Helvetia Holding AG	Financial industry & insurances
Thierry	Blanc	ETH Lausanne	EPF	Lausanne	Co-founder	MindMaze SA	Technology
Ingrid	Zürcher	Uni Zurich	UZH	Zurich	Panel Member	European Medicines Agency	Pharma & health
Carlo	Rossi	Uni Basel	UBA	Basel	Advisory Board	Biogen Idec	Pharma & health
Susanne	Lüthi	Uni Bern	UBE	Bern	Verwaltungsrat	PostFinance AG	Financial industry & insurances
Alexandre	Dubey	Uni Lausanne	ULA	Lausanne	Board Member	Vaud Economic Promotion	Commerce, trade & services
Roland	Frei	ETH Zurich	ETH	Zurich	Chairman	Swiss Federal Institute of Metrology	Education & research
Monica	Silva	Uni Geneva	UGE	Geneva	Consultant	World Trade Organization	Politics, administration, justice system & security sector
Beat	Leuthold	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Galenica AG	Pharma & health
Carla	Bettoni	ETH Lausanne	EPF	Lausanne	Scientific Advisor	L'Oréal Research & Innovation	Technology
Jürgen	Klein	Uni Basel	UBA	Basel	Board Member	Syngenta AG	Industry, construction & agriculture
Nadia	Comte	Uni Neuenburg	UNE	Neuchâtel	Conseil d'administration	Groupe Mutuel	Financial industry & insurances
Stephan	Vogel	ETH Zurich	ETH	Zurich	Founder & CEO	Autonomous Systems Lab	Technology
Patrizia	Gugger	Uni Freiburg	UFR	Fribourg	Advisory Board	Medtronic International	Pharma & health
Matthias	Jung	Uni Bern	UBE	Bern	Verwaltungsrat	Swisslife AG	Financial industry & insurances
Isabelle	Moreau	Uni Geneva	UGE	Geneva	Member	International Labour Organization	Politics, administration, justice system & security sector
Christian	Wyss	Uni St. Gallen	USG	Saint Gallen	Board Member	Credit Suisse Asset Management	Financial industry & insurances
Laura	Colombo	Uni Lugano	USI	Lugano	Consultant	Ernst & Young	Consulting, public relations, legal & trust
Dominik	Hauser	ETH Zurich	ETH	Zurich	Panel Member	Swiss Federal Energy Office	Energy, environment & mobility
Véronique	Leroy	ETH Lausanne	EPF	Lausanne	Co-founder	Biomedical Diagnostics SA	Pharma & health
René	Moser	Uni Basel	UBA	Basel	Verwaltungsrat	Swiss International Air Lines	Commerce, trade & services
Silvia	Tremp	Uni Zurich	UZH	Zurich	Advisory Board	Roche Venture Fund	Financial industry & insurances
Paolo	Gentile	Uni Lugano	USI	Lugano	Board Member	Banca del Sempione	Financial industry & insurances
Katja	Brun	Uni Bern	UBE	Bern	Scientific Advisor	Actelion Pharmaceuticals	Pharma & health
Alain	Mermoud	Uni Lausanne	ULA	Lausanne	Fondateur	Cybersecurity Advisory Group	Technology
Werner	Staub	ETH Zurich	ETH	Zurich	Verwaltungsrat	Geberit AG	Industry, construction & agriculture
Federica	Conti	Uni Geneva	UGE	Geneva	Consultant	United Nations Office at Geneva	Politics, administration, justice system & security sector
Christoph	Brenner	Uni St. Gallen	USG	Saint Gallen	Verwaltungsrat	Julius Bär Group	Financial industry & insurances
Brigitte	Amstutz	Uni Basel	UBA	Basel	Board Member	Swiss Academy of Medical Sciences	Pharma & health
Giorgio	Marini	ETH Lausanne	EPF	Lausanne	Scientific Advisor	Merck Serono	Pharma & health
Sandra	Neff	Uni Freiburg	UFR	Fribourg	Advisory Board	Debiopharm Group	Pharma & health
Urs	Kaufmann	ETH Zurich	ETH	Zurich	Chairman	Swiss Federal Railways	Commerce, trade & services
Marta	Gonzalez	Uni Geneva	UGE	Geneva	Member	International Telecommunication Union	Technology
Franz	Keller	Uni Bern	UBE	Bern	Verwaltungsrat	Mobiliar Insurance Group	Financial industry & insurances
Elisa	Torriani	Uni Lugano	USI	Lugano	Consultant	PwC Switzerland	Consulting, public relations, legal & trust
Rolf	Weber	Uni St. Gallen	USG	Saint Gallen	Board Member	Baloise Group	Financial industry & insurances
Catherine	Martin	ETH Lausanne	EPF	Lausanne	Co-founder	NanoLive SA	Technology
Bruno	Salzmann	Uni Basel	UBA	Basel	Verwaltungsrat	Swiss Post	Commerce, trade & services
Annette	Widmer	Uni Zurich	UZH	Zurich	Scientific Advisory Board	Idorsia Pharmaceuticals	Pharma & health
Luigi	Benedetti	Uni Lugano	USI	Lugano	Board Member	Cornèr Banca SA	Financial industry & insurances
