|DATE|MORTGAGE30US|
|2013-10-17|        4.28|
|2013-10-24|        4.13|
|2013-10-31|        4.10|
|2013-11-07|        4.16|
|2013-11-14|        4.35|
|2013-11-21|        4.22|
|2013-11-27|        4.29|
|2013-12-05|        4.46|
|2013-12-12|        4.42|
|2013-12-19|        4.47|
|2013-12-26|        4.48|
|2014-01-02|        4.53|
|2014-01-09|        4.51|
|2014-01-16|        4.41|
|2014-01-23|        4.39|
|2014-01-30|        4.32|
|2014-02-06|        4.23|
|2014-02-13|        4.28|
|2014-02-20|        4.33|
