|latitude|longitude|walkscore|bikescore|transitscore|
|44.92635|-93.18928|       61|       72|        null|
| 44.9581|-93.17982|       74|       83|        null|
|44.93788|-93.12767|       84|       73|        null|
|44.93071|-93.09431|       48|       60|        null|
|44.97547| -93.0679|       83|       53|        null|
|44.98683|-93.03703|       37|       48|        null|
|44.97599| -93.0087|        6|       48|        null|
|45.02617|-92.97972|       30|     null|        null|
|44.89481|-92.93888|        4|     null|        null|
|44.90495|-92.91649|        3|     null|        null|
|44.87344|-92.91489|        0|     null|        null|
|44.98808|-93.14601|       63|       66|        null|
|44.97113| -93.1278|       50|       69|        null|
|44.94951|-93.12778|       81|       63|        null|
|44.92445|-93.09533|       53|       40|        null|
|44.93154|-93.09249|       54|       56|        null|
| 44.9294|-93.08834|       66|       41|        null|
|44.95413|-93.05891|       56|       55|        null|
|45.01304|-93.03868|       24|     null|        null|
|44.98997|-93.02857|       70|       58|        null|
|44.98947|-93.02271|       70|       61|        null|
|44.96888|-93.01244|       34|       55|        null|
|44.97731|-93.00558|        5|       47|        null|
|44.93252|-93.00256|       19|     null|        null|
|44.95665|-92.98358|       30|     null|        null|
| 44.9334|-92.95342|       38|     null|        null|
|44.92373|-92.94599|       23|     null|        null|
|44.92791|-92.94168|       13|     null|        null|
| 44.9336|-92.88678|        3|     null|        null|
|44.97947| -93.1949|       71|       76|        null|
|44.90357|-93.18595|       32|       64|        null|
|44.96779|-93.18131|       37|       63|        null|
|44.92013|-93.13631|       58|       71|        null|
|44.98351|-93.13327|       24|       51|        null|
|44.97294|-93.12875|       47|       70|        null|
|44.97448|-93.09804|       53|       69|        null|
|44.97932|-93.07934|       65|       49|        null|
|44.95025|-93.05866|       56|       68|        null|
| 44.9487|-93.03261|       45|       48|        null|
|44.96965|-93.02772|       50|       42|        null|
|44.98996| -93.0219|       70|       61|        null|
|44.98539|-93.01985|       54|       62|        null|
|44.96466|-93.00841|       41|       63|        null|
|44.97839|-93.00689|        3|       46|        null|
|44.94721|-92.99859|       15|     null|        null|
|44.96563|-92.99732|       29|     null|        null|
|44.92572|-92.99044|        8|     null|        null|
|45.00369|-92.98308|        9|     null|        null|
|44.99864|-92.97607|       18|     null|        null|
|44.90747| -92.9718|       22|     null|        null|
|44.89874|-92.95856|        5|     null|        null|
| 44.9205|-92.95216|       40|     null|        null|
| 44.9744|-92.95117|       12|     null|        null|
|44.86664|-92.95116|        0|     null|        null|
|44.90028|-92.95022|        7|     null|        null|
|44.91491|-92.94936|       14|     null|        null|
|44.96756|-92.94779|       27|     null|        null|
|44.90951|-92.94257|        7|     null|        null|
|44.98975|-92.92752|        0|     null|        null|
|44.95991|-93.17686|       78|       83|        null|
|44.92856|-93.16584|       73|       68|        null|
|44.90388|-93.16279|       63|       63|        null|
|44.95761|-93.15337|       70|       74|        null|
|44.92345|-93.13596|       65|       64|        null|
| 44.9822| -93.1345|       24|       62|        null|
|44.95762| -93.1305|       80|       71|        null|
|44.96917|-93.11633|       52|       62|        null|
|44.97531|-93.08502|       57|       59|        null|
|44.99656|-93.08117|       21|     null|        null|
|44.98641|-93.07255|       51|       57|        null|
|45.00534|-93.03926|       31|     null|        null|
| 44.9827|-92.97025|        3|     null|        null|
|45.00517|-92.96269|       12|     null|        null|
|44.98951|-92.96209|       13|     null|        null|
|44.89668|-92.95872|        4|     null|        null|
|44.89752|  -92.942|        4|     null|        null|
|44.93218|-92.93979|        6|     null|        null|
|44.93717|-92.88715|        3|     null|        null|
|44.90501|-93.17924|       45|       42|        null|
|44.96262|-93.17558|       72|       82|        null|
|44.92896|-93.16085|       69|       69|        null|
|44.93439|-93.13708|       65|       58|        null|
|44.92484|-93.13503|       68|       65|        null|
|44.92697|-93.10442|       49|       48|        null|
|44.99033|-93.07511|       22|       48|        null|
|44.97492|-93.07475|       83|       48|        null|
|44.92109|-93.07376|       37|       30|        null|
| 44.9881|-93.04671|       27|       59|        null|
|44.96319|-93.04206|       42|       57|        null|
|44.96515|-93.03562|       37|       40|        null|
|44.95686| -93.0291|       48|       44|        null|
|44.97743| -93.0276|       54|       54|        null|
|44.97909|-93.01954|       29|       54|        null|
|44.93553|-92.94941|       41|     null|        null|
|44.94438|-92.94839|       36|     null|        null|
|44.93347|  -92.885|        2|     null|        null|
| 44.9306|-92.87777|        1|     null|        null|
|44.90301|-92.87726|       10|     null|        null|
|44.95323|-93.14101|       78|       64|        null|
|44.92166|-93.13741|       58|       68|        null|
